source_id,source_name,target_id,target_name,relationship,best_confidence,method_count,avg_score
naics:236116,New Multifamily Housing Construction (except For-Sale Builders),uc:Pr_40_30_04,Animal housing,semantically_similar,B,2,0.312
naics:23713,Power and Communication Line and Related Structures Construction,uc:Ss_85_50_65,Power supply systems,semantically_similar,B,2,0.312
naics:237130,Power and Communication Line and Related Structures Construction,uc:Ss_85_50_65,Power supply systems,semantically_similar,B,2,0.312
naics:23711,Water and Sewer Line and Related Structures Construction,uc:Ac_90_50_96,Water storing,semantically_similar,B,2,0.304
naics:237110,Water and Sewer Line and Related Structures Construction,uc:Ac_90_50_96,Water storing,semantically_similar,B,2,0.304
naics:2381,"Foundation, Structure, and Building Exterior Contractors",uc:Pr_20,Structure and general products,semantically_similar,B,2,0.298
naics:23811,Poured Concrete Foundation and Structure Contractors,uc:Ac_10_80,Structure moving,semantically_similar,B,2,0.296
naics:238110,Poured Concrete Foundation and Structure Contractors,uc:Ac_10_80,Structure moving,semantically_similar,B,2,0.296
naics:236115,New Single-Family Housing Construction (except For-Sale Builders),uc:Pr_40_30_04,Animal housing,semantically_similar,B,2,0.292
naics:23819,"Other Foundation, Structure, and Building Exterior Contractors",uc:Pr_20,Structure and general products,semantically_similar,B,2,0.285
naics:238190,"Other Foundation, Structure, and Building Exterior Contractors",uc:Pr_20,Structure and general products,semantically_similar,B,2,0.285
